Entity,Code,Year,Annual CO2 emissions
World,OWID_WRL,1880,853707188
World,OWID_WRL,1881,882407475
World,OWID_WRL,1882,931924710
World,OWID_WRL,1883,991035684
World,OWID_WRL,1884,1002177745
World,OWID_WRL,1885,1009674571
World,OWID_WRL,1886,1025478884
World,OWID_WRL,1887,1076761678
World,OWID_WRL,1888,1192276070
World,OWID_WRL,1889,1191804432
World,OWID_WRL,1890,1298463581
World,OWID_WRL,1891,1358879690
World,OWID_WRL,1892,1370094534
World,OWID_WRL,1893,1353675035
World,OWID_WRL,1894,1400864597
World,OWID_WRL,1895,1485281339
World,OWID_WRL,1896,1533711001
World,OWID_WRL,1897,1606310640
World,OWID_WRL,1898,1694277167
World,OWID_WRL,1899,1850905966
World,OWID_WRL,1900,1952224654
World,OWID_WRL,1901,2016760928
World,OWID_WRL,1902,2067797613
World,OWID_WRL,1903,2256077250
World,OWID_WRL,1904,2281857535
World,OWID_WRL,1905,2429631367
World,OWID_WRL,1906,2551869513
World,OWID_WRL,1907,2885281242
World,OWID_WRL,1908,2776431591
World,OWID_WRL,1909,2887083061
World,OWID_WRL,1910,3027588864
World,OWID_WRL,1911,3082462274
World,OWID_WRL,1912,3228332151
World,OWID_WRL,1913,3492411249
World,OWID_WRL,1914,3168341359
World,OWID_WRL,1915,3125088543
World,OWID_WRL,1916,3373154069
World,OWID_WRL,1917,3527725678
World,OWID_WRL,1918,3479185579
World,OWID_WRL,1919,3014874203
World,OWID_WRL,1920,3507597636
World,OWID_WRL,1921,3076038222
World,OWID_WRL,1922,3226445037
World,OWID_WRL,1923,3661080742
World,OWID_WRL,1924,3672399351
World,OWID_WRL,1925,3712867713
World,OWID_WRL,1926,3645190242
World,OWID_WRL,1927,3981432883
World,OWID_WRL,1928,3962552527
World,OWID_WRL,1929,4255150726
World,OWID_WRL,1930,3923058343
World,OWID_WRL,1931,3505272053
World,OWID_WRL,1932,3159133411
World,OWID_WRL,1933,3326453782
World,OWID_WRL,1934,3617657544
World,OWID_WRL,1935,3796088336
World,OWID_WRL,1936,4170573685
World,OWID_WRL,1937,4458901333
World,OWID_WRL,1938,4195242758
World,OWID_WRL,1939,4438143987
World,OWID_WRL,1940,4849926545
World,OWID_WRL,1941,4959186226
World,OWID_WRL,1942,4939724859
World,OWID_WRL,1943,5023250640
World,OWID_WRL,1944,5105436673
World,OWID_WRL,1945,4244738093
World,OWID_WRL,1946,4633477283
World,OWID_WRL,1947,5130185429
World,OWID_WRL,1948,5401115478
World,OWID_WRL,1949,5243102933
World,OWID_WRL,1950,6003238189
World,OWID_WRL,1951,6379755941
World,OWID_WRL,1952,6465694232
World,OWID_WRL,1953,6647727815
World,OWID_WRL,1954,6789936494
World,OWID_WRL,1955,7443207067
World,OWID_WRL,1956,7924210548
World,OWID_WRL,1957,8185523970
World,OWID_WRL,1958,8417600054
World,OWID_WRL,1959,8856188671
World,OWID_WRL,1960,9386933671
World,OWID_WRL,1961,9417462637
World,OWID_WRL,1962,9750056664
World,OWID_WRL,1963,10271524394
World,OWID_WRL,1964,10828857574
World,OWID_WRL,1965,11317232919
World,OWID_WRL,1966,11865861396
World,OWID_WRL,1967,12243045540
World,OWID_WRL,1968,12909912521
World,OWID_WRL,1969,13766570654
World,OWID_WRL,1970,14897567094
World,OWID_WRL,1971,15498266676
World,OWID_WRL,1972,16221152268
World,OWID_WRL,1973,17078792097
World,OWID_WRL,1974,17009594414
World,OWID_WRL,1975,17046497217
World,OWID_WRL,1976,17983972847
World,OWID_WRL,1977,18494530823
World,OWID_WRL,1978,19067767178
World,OWID_WRL,1979,19610017729
World,OWID_WRL,1980,19492613515
World,OWID_WRL,1981,19026910179
World,OWID_WRL,1982,18875760275
World,OWID_WRL,1983,18998031557
World,OWID_WRL,1984,19656716874
World,OWID_WRL,1985,20317483523
World,OWID_WRL,1986,20619623658
World,OWID_WRL,1987,21266194534
World,OWID_WRL,1988,22101399490
World,OWID_WRL,1989,22406832518
World,OWID_WRL,1990,22749574360
World,OWID_WRL,1991,23238102148
World,OWID_WRL,1992,22569624280
World,OWID_WRL,1993,22803495349
World,OWID_WRL,1994,22964583359
World,OWID_WRL,1995,23453944453
World,OWID_WRL,1996,24154961206
World,OWID_WRL,1997,24300550431
World,OWID_WRL,1998,24206271270
World,OWID_WRL,1999,24518962288
World,OWID_WRL,2000,25234207250
World,OWID_WRL,2001,25451054498
World,OWID_WRL,2002,26039191477
World,OWID_WRL,2003,27366723291
World,OWID_WRL,2004,28627533033
World,OWID_WRL,2005,29602777196
World,OWID_WRL,2006,30583530081
World,OWID_WRL,2007,31493741589
World,OWID_WRL,2008,32069444008
World,OWID_WRL,2009,31607042410
World,OWID_WRL,2010,33343300453
World,OWID_WRL,2011,34468451046
World,OWID_WRL,2012,34974075146
World,OWID_WRL,2013,35283025443
World,OWID_WRL,2014,35534442952
World,OWID_WRL,2015,35496406339
World,OWID_WRL,2016,35452459298
World,OWID_WRL,2017,35925737687
World,OWID_WRL,2018,36646139785
World,OWID_WRL,2019,36702502903
World,OWID_WRL,2020,34807259099
