Sea_level_rise_average_year,Year
-180.23628666666664,1880
-173.0390625,1881
-191.58073000000002,1882
-190.45573,1883
-166.597395,1884
-168.55573,1885
-169.597395,1886
-176.7640625,1887
-174.1557275,1888
-171.48073,1889
-169.88073,1890
-173.3557275,1891
-168.65573,1892
-164.78073,1893
-174.297395,1894
-162.26406500000002,1895
-168.6223975,1896
-164.23906499999998,1897
-157.48073,1898
-148.05573,1899
-152.38073,1900
-154.014065,1901
-148.87239499999998,1902
-140.872395,1903
-149.964065,1904
-156.64739500000002,1905
-150.2973975,1906
-150.714065,1907
-153.63073,1908
-150.01406250000002,1909
-149.20573000000002,1910
-142.0473975,1911
-144.089065,1912
-142.172395,1913
-138.2473975,1914
-126.314065,1915
-130.6390625,1916
-133.83073000000002,1917
-135.70573000000002,1918
-134.6723975,1919
-133.52239500000002,1920
-131.20573000000002,1921
-132.5557325,1922
-129.73073,1923
-138.272395,1924
-136.75573,1925
-129.4390625,1926
-130.4973975,1927
-133.96406249999998,1928
-133.7473975,1929
-129.5890625,1930
-129.7223975,1931
-124.73073000000001,1932
-119.18072999999998,1933
-125.0974,1934
-119.339065,1935
-123.5890625,1936
-118.2473975,1937
-114.93073,1938
-109.90573,1939
-115.56406249999999,1940
-102.9140625,1941
-103.52239999999999,1942
-102.097395,1943
-109.4723975,1944
-106.889065,1945
-98.98073,1946
-97.5807325,1947
-90.74739749999999,1948
-92.2390625,1949
-90.8973975,1950
-80.572395,1951
-84.0390625,1952
-78.1723975,1953
-82.7390625,1954
-80.29739749999999,1955
-85.33906250000001,1956
-73.88073,1957
-71.822395,1958
-70.48906000000001,1959
-67.83073,1960
-60.7224,1961
-66.43906249999999,1962
-67.0807275,1963
-75.9973975,1964
-65.0723975,1965
-69.13073,1966
-69.28906500000001,1967
-67.947395,1968
-60.747395,1969
-65.149345,1970
-59.57103,1971
-49.3227025,1972
-56.48073,1973
-43.069285,1974
-43.102305,1975
-43.093085,1976
-47.1526225,1977
-43.991755000000005,1978
-48.9785925,1979
-39.86562,1980
-28.923697500000003,1981
-31.404629999999997,1982
-26.608179999999997,1983
-27.9965575,1984
-34.832845000000006,1985
-33.3678475,1986
-31.03121,1987
-27.252769999999998,1988
-24.84229,1989
-20.5539375,1990
-16.08136,1991
-14.3818775,1992
-21.177322500000002,1993
-18.193649999999998,1994
-12.3653275,1995
-9.515437499999999,1996
-3.05429,1997
-7.731135,1998
-2.4915175,1999
-2.06249,2000
2.8977975000000002,2001
0.457525,2002
7.79332,2003
8.6417425,2004
9.102755,2005
12.444284999999999,2006
12.779395000000001,2007
22.474355,2008
27.585774999999998,2009
36.197919999999996,2010
36.181672500000005,2011
42.3416275,2012
42.0269,2013
49.904700000000005,2014
52.179432500000004,2015
56.330709999999996,2016
55.11239,2017
52.0832725,2018
60.98074,2019
65.99973999999999,2020
